threshold,precision,recall,f1,fpr
0.05,0.8690446495385383,0.998566924620235,0.9293144838623633,0.11700468018720749
0.06,0.8818020754239433,0.998566924620235,0.9365591397849461,0.10407844885223981
0.07,0.8942233632862644,0.998280309544282,0.9433911159263272,0.09182081568977045
0.08,0.9053808162204315,0.998280309544282,0.9495637949836423,0.0811232449297972
0.09,0.9131689401888772,0.997707079392376,0.9535680043829612,0.07376866503231558
0.09999999999999999,0.9196192490745637,0.996847234164517,0.9566772108375738,0.06775128147983062
0.10999999999999999,0.9252062816076657,0.996274004012611,0.9594258901462877,0.06262536215734343
0.12,0.930406852248394,0.996274004012611,0.9622145328719724,0.057945174949855134
0.13,0.9354144241119483,0.996274004012611,0.9648854961832061,0.05348785379986628
0.13999999999999999,0.9389354228586868,0.9959873889366581,0.9666203059805284,0.05036772899487408
0.14999999999999997,0.9417186229330442,0.9957007738607051,0.9679576483700196,0.04791620236238021
0.15999999999999998,0.9447769314472253,0.995414158784752,0.9694347522679693,0.0452418096723869
0.16999999999999998,0.947612551159618,0.995414158784752,0.9709253564439474,0.042790283039893025
0.18,0.9502051983584131,0.995414158784752,0.9722844344904816,0.0405616224648986
0.19,0.9530735455543359,0.995414158784752,0.97378382167391,0.038110095832404725
0.19999999999999996,0.9543830722726023,0.995414158784752,0.9744668911335578,0.03699576554490751
0.20999999999999996,0.9554332874828061,0.995414158784752,0.9750140370578327,0.03610430131490974
0.21999999999999997,0.9567493112947658,0.995414158784752,0.9756988341059137,0.034989971027412525
0.22999999999999998,0.9588511460922398,0.9951275437087991,0.9766526019690578,0.03320704256741698
0.24,0.9596350566768039,0.9948409286328461,0.976920911905432,0.03253844439491865
0.24999999999999994,0.9606974813174647,0.9948409286328461,0.9774711348915798,0.03164698016492088
0.25999999999999995,0.9622850804215197,0.994554313556893,0.97815362931642,0.030309783819924226
0.26999999999999996,0.9628087704690536,0.9942676984809401,0.9782853919909758,0.02986405170492534
0.27999999999999997,0.9641467481934408,0.9942676984809401,0.9789755891068153,0.028749721417428126
0.29,0.964951321279555,0.9942676984809401,0.9793901750423489,0.028081123244929798
0.3,0.9662952646239554,0.9942676984809401,0.9800819324763385,0.026966792957432584
0.30999999999999994,0.9679129464285714,0.9942676984809401,0.9809133323907817,0.025629596612435926
0.31999999999999995,0.9692651578653255,0.9942676984809401,0.9816072439162421,0.024515266324938712
0.32999999999999996,0.9697902097902098,0.9936944683290341,0.9815968289920726,0.024069534209939826
0.33999999999999997,0.9705964715765892,0.9934078532530811,0.9818696883852691,0.0234009360374415
0.3499999999999999,0.9724873666479505,0.9928346231011751,0.9825556658629981,0.0218408736349454
0.35999999999999993,0.9735732358729267,0.9925480080252221,0.9829690604598355,0.020949409404947626
0.36999999999999994,0.9743878412609063,0.9922613929492692,0.9832433967622835,0.0202808112324493
0.37999999999999995,0.9754860524091293,0.9922613929492692,0.9838022165387894,0.019389347002451526
0.38999999999999996,0.9763046544428773,0.9919747778733161,0.9840773386408871,0.0187207488299532
0.3999999999999999,0.9771251059022875,0.9916881627973632,0.984352773826458,0.01805215065745487
0.4099999999999999,0.9776773099745691,0.9916881627973632,0.9846328969834945,0.017606418542455985
0.41999999999999993,0.9787715822247381,0.9911149326454571,0.9849045855881515,0.016714954312458213
0.42999999999999994,0.9787715822247381,0.9911149326454571,0.9849045855881515,0.016714954312458213
0.43999999999999995,0.9790308869368093,0.9902550874175982,0.9846110002849815,0.01649208825495877
0.4499999999999999,0.9798638684061259,0.9902550874175982,0.985032074126871,0.01582349008246044
0.4599999999999999,0.9803977272727272,0.9891086271137862,0.9847339135397346,0.015377757967461556
0.4699999999999999,0.9809442548350398,0.9885353969618802,0.9847251962883655,0.01493202585246267
0.4799999999999999,0.9809442548350398,0.9885353969618802,0.9847251962883655,0.01493202585246267
0.48999999999999994,0.982051282051282,0.9879621668099742,0.9849978568366909,0.014040561622464899
0.49999999999999994,0.9831572937482158,0.9871023215821152,0.9851258581235697,0.013149097392467127
0.5099999999999999,0.9831380394398399,0.9859558612783033,0.9845449341728677,0.013149097392467127
0.5199999999999999,0.9834190966266438,0.9859558612783033,0.9846858451409761,0.012926231334967684
0.5299999999999999,0.9839725243274184,0.9853826311263972,0.9846770728913073,0.0124804992199688
0.5399999999999999,0.983963344788087,0.9848094009744912,0.9843861910901016,0.0124804992199688
0.5499999999999999,0.9842406876790831,0.9845227858985383,0.9843817165783064,0.012257633162469356
0.5599999999999999,0.9847963281698221,0.9839495557466322,0.9843727598566308,0.01181190104747047
0.57,0.985353245261344,0.9833763255947263,0.9843637928561182,0.011366168932471584
0.58,0.9856115107913669,0.9816566351390084,0.9836300976450317,0.011143302874972142
0.59,0.9856032248776274,0.9810834049871023,0.9833381212295317,0.011143302874972142
0.6,0.985878962536023,0.9805101748351963,0.9831872395459118,0.0109204368174727
0.61,0.9864357864357864,0.9796503296073373,0.9830313488639632,0.010474704702473813
0.62,0.9867090436290089,0.9787904843794784,0.9827338129496402,0.01025183864497437
0.63,0.9869866975130133,0.9782172542275723,0.9825824096732401,0.010028972587474927
0.6399999999999999,0.9872685185185185,0.9779306391516194,0.9825773938084952,0.009806106529975486
0.6499999999999999,0.9878225572629747,0.9764975637718544,0.982127414240415,0.0093603744149766
0.6599999999999999,0.9878190255220418,0.9762109486959014,0.9819806832924896,0.0093603744149766
0.6699999999999999,0.9889470622454916,0.9744912582401835,0.981665944853472,0.008468910184978827
0.6799999999999999,0.9895135450043694,0.9736314130123245,0.9815082346142734,0.008023178069979943
0.69,0.9903649635036497,0.9721983376325595,0.9811975701475267,0.007354579897481613
0.7,0.9903480549868383,0.9704786471768415,0.9803126809496236,0.007354579897481613
0.71,0.9903339191564148,0.9690455717970765,0.979574098218166,0.007354579897481613
0.72,0.9903282532239156,0.9684723416451705,0.9792783654542819,0.007354579897481613
0.73,0.9903140592896977,0.9670392662654056,0.978538283062645,0.007354579897481613
0.74,0.9905992949471211,0.9664660361134996,0.9783838676918613,0.007131713839982171
0.7499999999999999,0.9911504424778761,0.9630266552020637,0.9768861753161796,0.006685981724983285
0.7599999999999999,0.9914302600472813,0.9615935798222986,0.9762840098937872,0.006463115667483842
0.7699999999999999,0.9914099526066351,0.9593006592146747,0.9750910415149308,0.006463115667483842
0.7799999999999999,0.9913921044820422,0.9572943536830038,0.9740449110527852,0.006463115667483842
0.7899999999999999,0.9913793103448276,0.9558612783032387,0.9732963665547936,0.006463115667483842
0.7999999999999999,0.9916517590936196,0.9532817426196618,0.972088265380681,0.0062402496099844
0.8099999999999999,0.9919258373205742,0.9507022069360849,0.9708766281282014,0.0060173835524849565
0.82,0.9921968787515006,0.9475494411006019,0.9693593314763232,0.005794517494985513
0.83,0.9924721469436917,0.9446832903410719,0.9679882525697503,0.005571651437486071
0.84,0.9930492595950439,0.941817139581542,0.9667549279199765,0.005125919322487185
0.8499999999999999,0.993030303030303,0.9392376038979651,0.9653851819119165,0.005125919322487185
0.8599999999999999,0.9932967702620353,0.9343651476067641,0.9629301432580122,0.004903053264987743
0.8699999999999999,0.9935740514075887,0.9306391516193752,0.9610774012135563,0.0046801872074883
0.8799999999999999,0.9941538461538462,0.9260533104041273,0.9588959786318445,0.0042344550924894135
0.8899999999999999,0.994413407821229,0.9183147033533964,0.9548502458649977,0.004011589034989971
0.8999999999999999,0.9946841776110069,0.9117225566064775,0.9513982353820847,0.003788722977490528
0.9099999999999999,0.9952800503461297,0.9065634852393236,0.9488525573721314,0.0033429908624916425
0.9199999999999999,0.9958743256109172,0.8993981083404987,0.9451807228915662,0.0028972587474927567
0.9299999999999999,0.9958199356913183,0.887646890226426,0.9386270647067738,0.0028972587474927567
0.94,0.9960873818063254,0.8756090570364001,0.9319707138499084,0.002674392689993314
0.95,0.9980013324450366,0.8586987675551734,0.9231243259898322,0.001337196344996657
