design,held_out,acc_mean,acc_std,f1_mean,f1_std,recall_mean,recall_std
A,none (in-distribution),0.9911,0.0002,0.9899,0.0002,0.9919,0.0004
B,phishing_pot,0.9614,0.002,0.9499,0.0028,0.9142,0.0053
