index,feature,univariate_auc
0,url_count,0.7152411270639863
1,url_length_max,0.6912185660361797
2,url_length_avg,0.6889313193181105
3,url_subdom_max,0.6287227855775942
4,url_subdom_avg,0.6140058254789905
5,uppercase_ratio,0.511467645266453
6,punct_density,0.5526493203847651
7,digit_count,0.5059427148165867
8,currency_flag,0.5223238174531573
9,html_flag,0.8236745160512701
10,body_length,0.5278492126646993
11,subject_length,0.559509289580345
12,attachment_count,0.5086454241368046
