probe,accuracy,macro_f1,auc
all metadata,0.8567846755591214,0.8564030882650376,0.9183548175962976
source + sender_domain,0.8542774044729716,0.8539459503772844,0.9069501380276864
sender_domain only,0.801975729615886,0.8017404359711282,0.8463155103734099
year only,0.620349012135192,0.6203272437654321,0.6667624260554287
source only,0.6159863604452913,0.60877213557778,0.6485375059303362
