fold,held_out,feature,psi_phishing,psi_legitimate,max_psi,severity
C1,trec5,url_count,0.14314258805286073,1.228256800652354,1.228256800652354,major
C1,trec5,url_length_max,0.5154227755498847,1.4101629900274795,1.4101629900274795,major
C1,trec5,url_length_avg,0.58118915195463,1.2549205657070581,1.2549205657070581,major
C1,trec5,url_subdom_max,0.34411555228324564,1.1756056740923482,1.1756056740923482,major
C1,trec5,url_subdom_avg,0.32662961175116817,1.063741017851159,1.063741017851159,major
C1,trec5,uppercase_ratio,0.10677169300200909,0.10151650273079024,0.10677169300200909,moderate
C1,trec5,punct_density,0.09087812609665369,0.27435691416887,0.27435691416887,major
C1,trec5,digit_count,0.03229489816296251,0.42777522918786204,0.42777522918786204,major
C1,trec5,currency_flag,0.0,0.0,0.0,none
C1,trec5,html_flag,0.0,0.0,0.0,none
C1,trec5,body_length,0.16766988454883452,0.31333364896153776,0.31333364896153776,major
C1,trec5,subject_length,0.10122221167529169,0.28006513066606953,0.28006513066606953,major
C1,trec5,attachment_count,0.0,0.0,0.0,none
C2,trec6,url_count,0.22799344256002219,0.21890242021222017,0.22799344256002219,moderate
C2,trec6,url_length_max,0.3185727332958663,0.21235447967643586,0.3185727332958663,major
C2,trec6,url_length_avg,0.29508727422792536,0.13514414504611144,0.29508727422792536,major
C2,trec6,url_subdom_max,0.15458230509911264,0.06024454974796689,0.15458230509911264,moderate
C2,trec6,url_subdom_avg,0.0786467259485662,0.05241914557418542,0.0786467259485662,none
C2,trec6,uppercase_ratio,0.06122081393464982,0.06468970051394887,0.06468970051394887,none
C2,trec6,punct_density,0.03463333573426288,0.036193006358768216,0.036193006358768216,none
C2,trec6,digit_count,0.05664663266193275,0.06864413803995853,0.06864413803995853,none
C2,trec6,currency_flag,0.0,0.0,0.0,none
C2,trec6,html_flag,0.0,0.0,0.0,none
C2,trec6,body_length,0.06399039509865637,0.015148112630157123,0.06399039509865637,none
C2,trec6,subject_length,0.25047956880257244,0.198019999760911,0.25047956880257244,major
C2,trec6,attachment_count,0.0,0.0,0.0,none
C3,trec7,url_count,0.3242318717254279,2.0215299530541198,2.0215299530541198,major
C3,trec7,url_length_max,0.7822044493998019,1.7686822372058386,1.7686822372058386,major
C3,trec7,url_length_avg,0.6900781706074745,1.4763367734473665,1.4763367734473665,major
C3,trec7,url_subdom_max,0.7434853604258084,1.9404394913302385,1.9404394913302385,major
C3,trec7,url_subdom_avg,0.5040932587793319,1.5711201859623358,1.5711201859623358,major
C3,trec7,uppercase_ratio,0.07480009632408341,0.1867098552008951,0.1867098552008951,moderate
C3,trec7,punct_density,0.08079172894473913,0.23768719377692185,0.23768719377692185,moderate
C3,trec7,digit_count,0.0737552014938381,0.3418888090595219,0.3418888090595219,major
C3,trec7,currency_flag,0.0,0.0,0.0,none
C3,trec7,html_flag,0.0,0.0,0.0,none
C3,trec7,body_length,0.2567418915154349,0.5060050448337664,0.5060050448337664,major
C3,trec7,subject_length,0.3055204927304881,0.8041874602036523,0.8041874602036523,major
C3,trec7,attachment_count,0.0,0.0,0.0,none
