,Legitimate,Phishing,Lift
Urgency,0.26066494339958995,0.3213335779143355,1.23
Authority,0.054710758534628756,0.09582225075667247,1.75
Reward,0.11968981192619663,0.18483444923415573,1.54
Threat,0.05148408949104198,0.03345409520315509,0.65
Action,0.12608966931099028,0.16062093001926075,1.27
