config,features,input_width,recall,f1,macro_f1,FN
Text only,0 structural,768,0.9915166800412702,0.9893051186731484,0.9904782658413289,74
Text + Top-3 (SHAP),3 structural,771,0.9917459589590737,0.9897603111950117,0.9908851549279527,72
Text + Named 6,6 structural,774,0.9924337957124842,0.9895410641824313,0.9906833386307252,66
Text + All 13,13 structural,781,0.9918605984179755,0.9895350832046663,0.9906821730261846,71
