design,model,seed,single_run,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
B,DistilBERT embeddings + MLP (no structural),42,False,0.9531,0.9855,0.8958,0.9385,0.9503,0.9946,0.9915,0.0088,6676,59,468,4022
B,DistilBERT embeddings + MLP (no structural),43,False,0.9639,0.985,0.9238,0.9535,0.962,0.9955,0.9924,0.0094,6672,63,342,4148
B,DistilBERT embeddings + MLP (no structural),44,False,0.9503,0.9859,0.8884,0.9346,0.9473,0.9949,0.9912,0.0085,6678,57,501,3989
B,DistilBERT embeddings + MLP (no structural),45,False,0.9549,0.9849,0.9011,0.9411,0.9523,0.9947,0.9911,0.0092,6673,62,444,4046
B,DistilBERT embeddings + MLP (no structural),46,False,0.9545,0.987,0.898,0.9404,0.9518,0.9954,0.9923,0.0079,6682,53,458,4032
B,DistilBERT + Structural (Fusion),42,False,0.958,0.9879,0.906,0.9452,0.9555,0.9947,0.992,0.0074,6685,50,422,4068
B,DistilBERT + Structural (Fusion),43,False,0.9684,0.985,0.9352,0.9594,0.9668,0.9953,0.9926,0.0095,6671,64,291,4199
B,DistilBERT + Structural (Fusion),44,False,0.9637,0.9869,0.9216,0.9531,0.9618,0.9869,0.9865,0.0082,6680,55,352,4138
B,DistilBERT + Structural (Fusion),45,False,0.967,0.9847,0.9321,0.9577,0.9653,0.9948,0.9924,0.0097,6670,65,305,4185
B,DistilBERT + Structural (Fusion),46,False,0.9615,0.988,0.9149,0.95,0.9594,0.9956,0.9931,0.0074,6685,50,382,4108
B,Structural only (RF),42,False,0.9365,0.9326,0.9067,0.9195,0.9335,0.9743,0.9615,0.0437,6441,294,419,4071
B,Structural only (RF),43,False,0.9362,0.9326,0.906,0.9191,0.9332,0.9748,0.9626,0.0437,6441,294,422,4068
B,Structural only (RF),44,False,0.936,0.9314,0.9069,0.919,0.9331,0.9745,0.9608,0.0445,6435,300,418,4072
B,Structural only (RF),45,False,0.9347,0.9304,0.9045,0.9172,0.9317,0.974,0.9609,0.0451,6431,304,429,4061
B,Structural only (RF),46,False,0.9364,0.9326,0.9065,0.9194,0.9334,0.9748,0.9617,0.0437,6441,294,420,4070
B,"SVM (TF-IDF, linear)",42,False,0.9388,0.9791,0.8655,0.9188,0.9348,0.991,0.9842,0.0123,6652,83,604,3886
B,"SVM (TF-IDF, linear)",43,False,0.9388,0.9791,0.8655,0.9188,0.9348,0.991,0.9842,0.0123,6652,83,604,3886
B,"SVM (TF-IDF, linear)",44,False,0.9388,0.9791,0.8655,0.9188,0.9348,0.991,0.9842,0.0123,6652,83,604,3886
B,"SVM (TF-IDF, linear)",45,False,0.9388,0.9791,0.8655,0.9188,0.9348,0.991,0.9842,0.0123,6652,83,604,3886
B,"SVM (TF-IDF, linear)",46,False,0.9388,0.9791,0.8655,0.9188,0.9348,0.991,0.9842,0.0123,6652,83,604,3886
B,Naive Bayes (TF-IDF),42,True,0.9026,0.978,0.7739,0.8641,0.8941,0.9862,0.9787,0.0116,6657,78,1015,3475
B,Naive Bayes (TF-IDF),43,True,0.9026,0.978,0.7739,0.8641,0.8941,0.9862,0.9787,0.0116,6657,78,1015,3475
B,Naive Bayes (TF-IDF),44,True,0.9026,0.978,0.7739,0.8641,0.8941,0.9862,0.9787,0.0116,6657,78,1015,3475
B,Naive Bayes (TF-IDF),45,True,0.9026,0.978,0.7739,0.8641,0.8941,0.9862,0.9787,0.0116,6657,78,1015,3475
B,Naive Bayes (TF-IDF),46,True,0.9026,0.978,0.7739,0.8641,0.8941,0.9862,0.9787,0.0116,6657,78,1015,3475
B,Lexical only (TF-IDF + LR),42,True,0.9563,0.9717,0.9176,0.9439,0.9541,0.9924,0.9856,0.0178,6615,120,370,4120
B,Lexical only (TF-IDF + LR),43,True,0.9563,0.9717,0.9176,0.9439,0.9541,0.9924,0.9856,0.0178,6615,120,370,4120
B,Lexical only (TF-IDF + LR),44,True,0.9563,0.9717,0.9176,0.9439,0.9541,0.9924,0.9856,0.0178,6615,120,370,4120
B,Lexical only (TF-IDF + LR),45,True,0.9563,0.9717,0.9176,0.9439,0.9541,0.9924,0.9856,0.0178,6615,120,370,4120
B,Lexical only (TF-IDF + LR),46,True,0.9563,0.9717,0.9176,0.9439,0.9541,0.9924,0.9856,0.0178,6615,120,370,4120
B,Structural + lexical (LR),42,True,0.9617,0.9739,0.9292,0.951,0.9598,0.9925,0.9901,0.0166,6623,112,318,4172
B,Structural + lexical (LR),43,True,0.9617,0.9739,0.9292,0.951,0.9598,0.9925,0.9901,0.0166,6623,112,318,4172
B,Structural + lexical (LR),44,True,0.9617,0.9739,0.9292,0.951,0.9598,0.9925,0.9901,0.0166,6623,112,318,4172
B,Structural + lexical (LR),45,True,0.9617,0.9739,0.9292,0.951,0.9598,0.9925,0.9901,0.0166,6623,112,318,4172
B,Structural + lexical (LR),46,True,0.9617,0.9739,0.9292,0.951,0.9598,0.9925,0.9901,0.0166,6623,112,318,4172
B,"CNN (word-embedding, from scratch)",42,True,0.9385,0.9733,0.8702,0.9189,0.9347,0.9907,0.9863,0.0159,6628,107,583,3907
B,"CNN (word-embedding, from scratch)",43,True,0.9385,0.9733,0.8702,0.9189,0.9347,0.9907,0.9863,0.0159,6628,107,583,3907
B,"CNN (word-embedding, from scratch)",44,True,0.9385,0.9733,0.8702,0.9189,0.9347,0.9907,0.9863,0.0159,6628,107,583,3907
B,"CNN (word-embedding, from scratch)",45,True,0.9385,0.9733,0.8702,0.9189,0.9347,0.9907,0.9863,0.0159,6628,107,583,3907
B,"CNN (word-embedding, from scratch)",46,True,0.9385,0.9733,0.8702,0.9189,0.9347,0.9907,0.9863,0.0159,6628,107,583,3907
B,DistilBERT (text-only),42,True,0.9532,0.9882,0.8938,0.9386,0.9504,0.9959,0.9937,0.0071,6687,48,477,4013
B,DistilBERT (text-only),43,True,0.9532,0.9882,0.8938,0.9386,0.9504,0.9959,0.9937,0.0071,6687,48,477,4013
B,DistilBERT (text-only),44,True,0.9532,0.9882,0.8938,0.9386,0.9504,0.9959,0.9937,0.0071,6687,48,477,4013
B,DistilBERT (text-only),45,True,0.9532,0.9882,0.8938,0.9386,0.9504,0.9959,0.9937,0.0071,6687,48,477,4013
B,DistilBERT (text-only),46,True,0.9532,0.9882,0.8938,0.9386,0.9504,0.9959,0.9937,0.0071,6687,48,477,4013
