design,rule,threshold,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
A,default 0.50,0.5,0.9905726607160766,0.9879931389365352,0.9904849249111545,0.9892374627891001,0.9904252981325943,0.9972975425924828,0.9944250379256785,0.00935912291648097,11114,105,83,8640
A,F1-optimal on val,0.44,0.9905225152943536,0.9877686328303612,0.9905995643700561,0.9891820731497911,0.9903747335364803,0.9972975425924828,0.9944250379256785,0.00953739192441394,11112,107,82,8641
A,FPR<=1% on val,0.05,0.9903219336074617,0.9868721461187214,0.9910581222056631,0.9889607046845507,0.9901725089424271,0.9972975425924828,0.9944250379256785,0.010250467956145823,11104,115,78,8645
B,default 0.50,0.5,0.9579510022271714,0.9878581835842642,0.9060133630289532,0.9451672862453532,0.9555340838104385,0.9946729265562505,0.9920375907862358,0.007423904974016332,6685,50,422,4068
B,F1-optimal on val,0.29,0.9613363028953229,0.9867978876620259,0.9155902004454343,0.9498613678373382,0.9591992064647037,0.9946729265562505,0.9920375907862358,0.008166295471417966,6680,55,379,4111
B,FPR<=1% on val,0.17,0.9625835189309577,0.9854484732824428,0.9200445434298441,0.9516240497581202,0.9605592648558179,0.9946729265562505,0.9920375907862358,0.009057164068299926,6674,61,359,4131
