design,model,seed,single_run,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
A,DistilBERT embeddings + MLP (no structural),42,False,0.9903720790291847,0.9873186336113332,0.9907142038289579,0.9890135042343786,0.9902225678972678,0.997195062947833,0.9949088540593191,0.009893929940279883,11108,111,81,8642
A,DistilBERT embeddings + MLP (no structural),43,False,0.9900210610771236,0.9859749144811859,0.9912874011234667,0.9886240210369862,0.9898682607976231,0.9966628207251914,0.9931701346146337,0.010963543987877708,11096,123,76,8647
A,DistilBERT embeddings + MLP (no structural),44,False,0.9904723698726307,0.9875442806536396,0.9907142038289579,0.9891267025294723,0.9903241723267621,0.9982764893864184,0.9973072957360309,0.00971566093234691,11110,109,81,8642
A,DistilBERT embeddings + MLP (no structural),45,False,0.9903219336074617,0.9869833295272893,0.9909434827467615,0.9889594416795378,0.9901722620172897,0.9980487840916358,0.996701003616451,0.010161333452179339,11105,114,79,8644
A,DistilBERT embeddings + MLP (no structural),46,False,0.9904222244509077,0.9875428571428572,0.9905995643700561,0.9890688490814399,0.9902731242863805,0.9976448841101749,0.995552974721177,0.00971566093234691,11110,109,82,8641
A,DistilBERT + Structural (Fusion),42,False,0.9905726607160766,0.9879931389365352,0.9904849249111545,0.9892374627891001,0.9904252981325943,0.9972975425924828,0.9944250379256785,0.00935912291648097,11114,105,83,8640
A,DistilBERT + Structural (Fusion),43,False,0.9906729515595226,0.9895630232824866,0.9891092514043334,0.9893360853113176,0.9905240269707822,0.9985290609904299,0.998018091267091,0.008111239860950173,11128,91,95,8628
A,DistilBERT + Structural (Fusion),44,False,0.9907732424029686,0.9893409742120344,0.9895678092399404,0.9894543787253554,0.99062663667949,0.9983642852889841,0.9975168182925421,0.008289508868883145,11126,93,91,8632
A,DistilBERT + Structural (Fusion),45,False,0.9908735332464146,0.9894555873925501,0.9896824486988421,0.989569005043558,0.9907285210634085,0.9973580248954724,0.9948179580266772,0.00820037436491666,11127,92,90,8633
A,DistilBERT + Structural (Fusion),46,False,0.9908735332464146,0.9894555873925501,0.9896824486988421,0.989569005043558,0.9907285210634085,0.998286866101858,0.9974500859279952,0.00820037436491666,11127,92,90,8633
A,Structural only (RF),42,False,0.9358640056162872,0.9392258673589804,0.9124154533990599,0.9256265627725766,0.9346253323405793,0.9803072114738944,0.9793655296862949,0.045904269542739996,10704,515,764,7959
A,Structural only (RF),43,False,0.9366161869421322,0.9409956249260967,0.9123008139401582,0.9264260768335274,0.9353765338360731,0.9802192776238563,0.9791539326316654,0.04447811747927623,10720,499,765,7958
