design,seed,epoch,lr_end,train_loss,train_f1,val_loss,val_f1,val_acc,seconds
A,42,1,2e-05,0.17251675511799094,0.924335571739336,0.06052002552737937,0.979854264894985,0.982321965897693,470.8410942554474
A,42,2,1.7777777777777777e-05,0.04951195628523996,0.9832379134860051,0.04664448113799555,0.9819832600368846,0.9840772316950852,492.43997502326965
A,42,3,1.555555555555556e-05,0.02277394293796686,0.9929807248475974,0.04836654310337003,0.9854905904324092,0.9873370110330993,482.117308139801
A,42,4,1.3333333333333333e-05,0.01176335574677998,0.9965938753422041,0.06420235686202547,0.9869421724781173,0.9885907723169508,483.72402143478394
A,42,5,1.1111111111111113e-05,0.005265745274068449,0.9985509784876037,0.1031884823986234,0.9837869137232195,0.9859578736208626,477.2089214324951
A,42,6,8.888888888888888e-06,0.004854660574615115,0.9986308348723174,0.06688528455707349,0.9879931389365352,0.9894684052156469,475.98232913017273
A,42,7,6.666666666666667e-06,0.002852976135609672,0.9992834509004633,0.08541001515701006,0.9859235851766733,0.9877131394182548,473.5452754497528
A,42,8,4.444444444444444e-06,0.001469118828004365,0.999633752129811,0.09576057187844549,0.9863368330217173,0.9880892678034102,463.96832847595215
A,42,9,2.222222222222222e-06,0.0008685878027955244,0.9998088989393891,0.09599368135972337,0.9872438010606278,0.9888415245737212,471.470988035202
B,42,1,2e-05,0.16210894345959867,0.930531708278211,0.05615681932782545,0.9779068299457139,0.9802237540965081,550.7824802398682
B,42,2,1.7777777777777777e-05,0.04685276734015138,0.9843849721312173,0.04349113909127935,0.9860618347693867,0.9875692168606622,545.486180305481
B,42,3,1.555555555555556e-05,0.022271056333650188,0.9930014337833426,0.052052837015267604,0.9874358974358974,0.9889253022940445,541.9102530479431
B,42,4,1.3333333333333333e-05,0.010329632817377435,0.9968765971946164,0.05055637084587976,0.9853015712113533,0.9868911741439711,538.4126205444336
B,42,5,1.1111111111111113e-05,0.006465535849694799,0.9982960838326754,0.06144107698679395,0.9861111111111112,0.9877952310995592,531.8588743209839
B,42,6,8.888888888888888e-06,0.0035338306676132676,0.9990769274464973,0.08791619466390806,0.9850595087363889,0.986665159905074,532.8634176254272
