threshold,precision,recall,f1,fpr
0.02,0.9868571428571429,0.9899684723416452,0.9884103591357848,0.01025183864497437
0.03,0.9871391826236068,0.9899684723416452,0.9885518030910132,0.010028972587474927
0.04,0.9871391826236068,0.9899684723416452,0.9885518030910132,0.010028972587474927
0.05,0.9874177866742923,0.9896818572656921,0.9885485256226739,0.009806106529975486
0.06,0.9874177866742923,0.9896818572656921,0.9885485256226739,0.009806106529975486
0.07,0.9874177866742923,0.9896818572656921,0.9885485256226739,0.009806106529975486
0.08,0.9874177866742923,0.9896818572656921,0.9885485256226739,0.009806106529975486
0.09,0.9874177866742923,0.9896818572656921,0.9885485256226739,0.009806106529975486
0.1,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.11,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.12,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.13,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.14,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.15,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.16,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.17,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.18,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.19,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.2,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.21,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.22,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.23,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.24,0.9874141876430206,0.9893952421897392,0.9884037222619899,0.009806106529975486
0.25,0.9876967095851216,0.9893952421897392,0.988545246277205,0.009583240472476042
0.26,0.9876967095851216,0.9893952421897392,0.988545246277205,0.009583240472476042
0.27,0.9876967095851216,0.9893952421897392,0.988545246277205,0.009583240472476042
0.28,0.9876967095851216,0.9893952421897392,0.988545246277205,0.009583240472476042
0.29,0.9876967095851216,0.9893952421897392,0.988545246277205,0.009583240472476042
0.3,0.9876967095851216,0.9893952421897392,0.988545246277205,0.009583240472476042
0.31,0.9876967095851216,0.9893952421897392,0.988545246277205,0.009583240472476042
0.32,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.33,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.34,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.35,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.36,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.37,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.38,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.39,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
0.4,0.9879793932455638,0.9893952421897392,0.9886868108262924,0.0093603744149766
