design,seed,accuracy,precision,recall,f1,macro_f1,auc,avg_prec,fpr,TN,FP,FN,TP
A,42,0.9898204793902317,0.9853041695146958,0.9915166800412702,0.9884006628192674,0.9896656399026864,0.9992757553321525,0.9990693663748708,0.01149835101167662,11090,129,74,8649
B,42,0.9532293986636972,0.9881802511696627,0.8937639198218262,0.9386036720851363,0.9504155852331574,0.9959002848861531,0.9936687533438084,0.0071269487750556795,6687,48,477,4013
